"Block Size"	"Sync?"	"Num Bytes Read"	"Wall Clock Time"	"User Time"	"Sys Time"
65536	-	4259840	0.007	0.000	0.010
65536	-	4259840	0.007	0.000	0.010
65536	-	4259840	0.007	0.000	0.000
65536	-	4259840	0.007	0.000	0.010
512	s	4194816	1.705	0.070	1.640
512	s	4194816	1.716	0.050	1.660
512	s	4194816	1.709	0.070	1.630
512	s	4194816	1.698	0.080	1.620
512	s	4194816	1.731	0.080	1.660
1024	s	4195328	0.877	0.030	0.840
1024	s	4195328	0.890	0.030	0.860
1024	s	4195328	0.883	0.060	0.830
1024	s	4195328	0.870	0.050	0.820
1024	s	4195328	0.898	0.020	0.870
2048	s	4196352	0.454	0.030	0.430
2048	s	4196352	0.459	0.030	0.430
2048	s	4196352	0.461	0.000	0.460
2048	s	4196352	0.466	0.020	0.440
2048	s	4196352	0.467	0.030	0.440
4096	s	4198400	0.256	0.010	0.250
4096	s	4198400	0.258	0.000	0.250
4096	s	4198400	0.259	0.010	0.250
4096	s	4198400	0.253	0.000	0.250
4096	s	4198400	0.238	0.010	0.240
8192	s	4202496	0.139	0.000	0.130
8192	s	4202496	0.137	0.000	0.140
8192	s	4202496	0.139	0.000	0.140
8192	s	4202496	0.135	0.000	0.140
8192	s	4202496	0.141	0.000	0.140
16384	s	4210688	0.076	0.000	0.070
16384	s	4210688	0.074	0.020	0.060
16384	s	4210688	0.075	0.000	0.070
16384	s	4210688	0.073	0.010	0.070
16384	s	4210688	0.070	0.000	0.060
32768	s	4227072	0.041	0.000	0.050
32768	s	4227072	0.044	0.000	0.040
32768	s	4227072	0.043	0.000	0.040
32768	s	4227072	0.043	0.000	0.050
32768	s	4227072	0.043	0.000	0.040
65536	s	4259840	0.027	0.000	0.020
65536	s	4259840	0.027	0.000	0.030
65536	s	4259840	0.028	0.000	0.030
65536	s	4259840	0.027	0.000	0.020
65536	s	4259840	0.027	0.000	0.030
512	-	8389120	0.025	0.000	0.030
512	-	8389120	0.025	0.010	0.020
512	-	8389120	0.060	0.000	0.050
512	-	8389120	0.059	0.020	0.040
512	-	8389120	0.026	0.010	0.010
1024	-	8389632	0.044	0.000	0.040
1024	-	8389632	0.016	0.000	0.020
1024	-	8389632	0.015	0.000	0.010
1024	-	8389632	0.046	0.010	0.040
1024	-	8389632	0.017	0.000	0.020
2048	-	8390656	0.032	0.010	0.020
2048	-	8390656	0.033	0.010	0.020
2048	-	8390656	0.032	0.000	0.030
2048	-	8390656	0.010	0.000	0.010
2048	-	8390656	0.012	0.000	0.010
4096	-	8392704	0.022	0.010	0.010
4096	-	8392704	0.023	0.000	0.020
4096	-	8392704	0.024	0.010	0.020
4096	-	8392704	0.022	0.000	0.020
4096	-	8392704	0.024	0.010	0.020
8192	-	8396800	0.018	0.000	0.010
8192	-	8396800	0.009	0.000	0.010
8192	-	8396800	0.010	0.000	0.010
8192	-	8396800	0.010	0.000	0.010
8192	-	8396800	0.009	0.000	0.010
16384	-	8404992	0.018	0.000	0.010
16384	-	8404992	0.008	0.000	0.010
16384	-	8404992	0.019	0.000	0.020
16384	-	8404992	0.009	0.000	0.010
16384	-	8404992	0.009	0.000	0.010
32768	-	8421376	0.008	0.000	0.010
32768	-	8421376	0.018	0.000	0.010
32768	-	8421376	0.017	0.010	0.020
32768	-	8421376	0.010	0.000	0.010
32768	-	8421376	0.008	0.000	0.010
65536	-	8454144	0.008	0.000	0.000
65536	-	8454144	0.009	0.000	0.010
65536	-	8454144	0.009	0.000	0.010
65536	-	8454144	0.008	0.000	0.000
65536	-	8454144	0.010	0.000	0.010
512	s	8389120	3.460	0.140	3.320
512	s	8389120	3.426	0.150	3.280
512	s	8389120	3.451	0.180	3.270
512	s	8389120	3.391	0.180	3.210
512	s	8389120	3.361	0.130	3.230
1024	s	8389632	1.792	0.090	1.710
1024	s	8389632	1.759	0.040	1.720
1024	s	8389632	1.779	0.040	1.730
1024	s	8389632	1.800	0.090	1.710
1024	s	8389632	1.736	0.060	1.680
2048	s	8390656	0.918	0.060	0.860
2048	s	8390656	0.957	0.010	0.940
2048	s	8390656	0.952	0.050	0.910
2048	s	8390656	0.948	0.040	0.900
2048	s	8390656	0.926	0.020	0.910
4096	s	8392704	0.507	0.020	0.490
4096	s	8392704	0.517	0.020	0.500
4096	s	8392704	0.518	0.010	0.500
4096	s	8392704	0.490	0.030	0.460
4096	s	8392704	0.511	0.020	0.500
8192	s	8396800	0.272	0.000	0.270
8192	s	8396800	0.266	0.010	0.250
8192	s	8396800	0.281	0.020	0.260
8192	s	8396800	0.271	0.000	0.270
8192	s	8396800	0.281	0.010	0.270
16384	s	8404992	0.154	0.010	0.150
16384	s	8404992	0.152	0.000	0.150
16384	s	8404992	0.151	0.020	0.140
16384	s	8404992	0.150	0.000	0.150
16384	s	8404992	0.149	0.000	0.140
32768	s	8421376	0.089	0.000	0.090
32768	s	8421376	0.090	0.000	0.090
32768	s	8421376	0.088	0.000	0.090
32768	s	8421376	0.088	0.000	0.090
32768	s	8421376	0.089	0.000	0.090
65536	s	8454144	0.056	0.000	0.050
65536	s	8454144	0.055	0.000	0.060
65536	s	8454144	0.055	0.000	0.050
65536	s	8454144	0.055	0.000	0.060
65536	s	8454144	0.055	0.000	0.050
512	-	16777728	0.046	0.010	0.040
512	-	16777728	0.083	0.010	0.070
512	-	16777728	0.047	0.010	0.030
512	-	16777728	0.081	0.020	0.070
512	-	16777728	0.047	0.010	0.040
1024	-	16778240	0.029	0.000	0.030
1024	-	16778240	0.028	0.010	0.010
1024	-	16778240	0.028	0.000	0.030
1024	-	16778240	0.062	0.020	0.040
1024	-	16778240	0.028	0.020	0.010
2048	-	16779264	0.021	0.000	0.020
2048	-	16779264	0.020	0.000	0.020
2048	-	16779264	0.052	0.020	0.030
2048	-	16779264	0.051	0.000	0.050
2048	-	16779264	0.018	0.000	0.020
4096	-	16781312	0.014	0.000	0.010
4096	-	16781312	0.015	0.000	0.020
4096	-	16781312	0.041	0.000	0.040
4096	-	16781312	0.040	0.000	0.040
4096	-	16781312	0.041	0.010	0.030
8192	-	16785408	0.038	0.000	0.040
8192	-	16785408	0.037	0.010	0.030
8192	-	16785408	0.016	0.000	0.010
8192	-	16785408	0.015	0.000	0.010
8192	-	16785408	0.016	0.000	0.020
16384	-	16793600	0.013	0.000	0.010
16384	-	16793600	0.013	0.000	0.010
16384	-	16793600	0.014	0.000	0.020
16384	-	16793600	0.035	0.000	0.030
16384	-	16793600	0.013	0.000	0.020
32768	-	16809984	0.036	0.000	0.030
32768	-	16809984	0.034	0.000	0.040
32768	-	16809984	0.037	0.000	0.030
32768	-	16809984	0.034	0.000	0.040
32768	-	16809984	0.035	0.000	0.030
65536	-	16842752	0.033	0.000	0.040
65536	-	16842752	0.032	0.000	0.030
65536	-	16842752	0.033	0.000	0.030
65536	-	16842752	0.034	0.000	0.040
65536	-	16842752	0.036	0.000	0.030
512	s	16777728	6.955	0.250	6.710
512	s	16777728	6.880	0.300	6.580
512	s	16777728	6.889	0.240	6.650
512	s	16777728	6.880	0.210	6.670
512	s	16777728	6.908	0.310	6.600
1024	s	16778240	3.519	0.130	3.390
1024	s	16778240	3.574	0.150	3.430
1024	s	16778240	3.525	0.160	3.360
1024	s	16778240	3.535	0.180	3.350
1024	s	16778240	3.517	0.160	3.360
2048	s	16779264	1.863	0.060	1.800
2048	s	16779264	1.853	0.080	1.770
2048	s	16779264	1.884	0.080	1.810
2048	s	16779264	1.910	0.090	1.820
2048	s	16779264	1.868	0.090	1.780
4096	s	16781312	1.051	0.020	1.030
4096	s	16781312	1.009	0.020	0.990
4096	s	16781312	1.039	0.040	1.000
4096	s	16781312	1.033	0.040	0.990
4096	s	16781312	1.048	0.040	1.000
8192	s	16785408	0.512	0.020	0.500
8192	s	16785408	0.537	0.000	0.530
8192	s	16785408	0.543	0.030	0.520
8192	s	16785408	0.534	0.020	0.510
8192	s	16785408	0.553	0.000	0.550
16384	s	16793600	0.295	0.020	0.290
16384	s	16793600	0.296	0.010	0.280
16384	s	16793600	0.299	0.000	0.290
16384	s	16793600	0.289	0.010	0.280
16384	s	16793600	0.303	0.010	0.300
